1: 1/30
2: 1/4
3: 12
4: 3
5: 19/6
6: 17/2
7: 41/4
8: 27/4
9: 8
10: 38/3
11: 59/3
12: -2/3
13: -12/5
14: 5/3
15: 82/5
16: 2/5
17: -46
18: 13/2
19: -3
20: 4
21: 4/25
22: 32/165
23: -49/9
24: 22/7
25: 5
26: 7
27: 71/24
28: -1/4
29: -1
30: 7/6
31: 25
32: -2/5
33: -39/5
34: -62/7
35: 0
36: 44/5
37: 15/13
38: 3/8
39: 16
40: 6
41: 4/45
42: 5/8
43: 19
44: 0
45: 208/7
46: 15
47: 453/50
48: 28/3
49: 3/7
50: 1
51: 23/3
52: 19
53: 6
54: -53/7
55: -46/9
56: 1/6
57: 7
58: 1
59: 2
60: 13/12
61: -103/24
62: 7/10
63: -43/7
64: -97/20
65: 324/5
66: 9/35
67: 29/5
68: 5/2
69: 725/3
70: 37/6
71: 9/2
72: 34/7
73: -6
74: 25/21
75: 3/35
76: 6
77: -2
78: 14
79: 24
80: 44/45
81: 13
82: 15
83: 41/4
84: 7
85: -2
86: 16/21
87: 1/5
88: 3/140
89: 8
90: -11
91: 128
92: 3/16
93: -17/3
94: 9/4
95: 0
96: 112/3
97: 2
98: 14
99: -4
100: 17
